gene_id,PTEN_normal_mean_Z,PTEN_normal_mean_RSEM,PTEN_normal_median_RSEM,PTEN_deleted_mean_Z,PTEN_deleted_mean_RSEM,PTEN_deleted_median_RSEM,Z_score_diff,log2_fold_change,log2_median_change
MYH7,-0.027855689766663,62.24271598360656,0,-0.030004475361771633,2.9886016393442625,0,0.002148785595108633,4.380362500899912,NaN
CYP19A1,0.01912986751679353,127.62254112021859,4.974600000000001,-0.030331713612712377,6.179727868852459,3.0675,0.04946158112950591,4.368196046150733,0.6975171815235404
CHRNA9,0.03617777265150542,131.26028032786886,0.7629,-0.09405904911993122,6.365947540983607,1.1022,0.13023682177143664,4.3659113407058845,-0.5308201644212434
SPRR2A,-0.03696245293141644,10.633104371584698,0,0.6273831544639007,217.55391967213114,0,-0.6643456073953171,-4.354738246885887,NaN
SPRR2D,-0.0454830364450018,7.279164617486339,0,0.6691233581398041,143.26257049180327,0,-0.7146063945848059,-4.298745031586349,NaN
GABRA5,-0.08051915657165651,3.438404644808743,0,0.6458285340103957,67.46924426229508,0.3914,-0.7263476905820523,-4.294418760112314,-Inf
CLDN6,-0.07349437578549044,12.032235928961748,0.76265,0.4163080679545256,235.17374918032786,1.2933,-0.489802443740016,-4.288750365100506,-0.7619639447261375
PSORS1C2,-0.04215411113119009,9.796816803278688,1.55305,0.6251649469018035,191.15141639344262,3.6962,-0.6673190580329935,-4.286259017381707,-1.2509385449286872
CPB1,0.0210091487124197,36045.52389521858,71.68615,-0.1853937067383246,1949.0437065573772,27.0991,0.2064028554507443,4.2089817699002525,1.403449474019901
MYH2,-0.02824344546124747,42.41996612021858,0.32905,-0.029417874417369417,2.3117737704918033,0.2601,0.0011744289561219472,4.197671340481894,0.33924042258610393
SPRR2E,-0.039249468099879475,5.636009426229508,0,0.5627607007334079,102.04470163934425,0,-0.6020101688332874,-4.178383441981466,NaN
LOR,0.018406175265397572,38.93202172131148,0,-0.027113653206833323,2.2800032786885245,0,0.04551982847223089,4.093849460968255,NaN
VCX3A,0.015310910198980237,42.046642896174866,0.36029999999999995,-0.03526700356640395,2.5298426229508197,0.3696,0.05057791376538419,4.05487107157155,-0.03676610498926743
ACSM1,0.02321391459891125,270.52724016393444,28.28425,-0.10795070249756178,16.456745901639344,7.4822,0.13116461709647304,4.039022874778533,1.9184644813225642
CSN1S1,2.1339716735110294e-4,198.62507677595627,0,-0.04239607092853584,12.655054098360656,0,0.04260946809588694,3.97226219736081,NaN
DSG1,-0.0754249759560149,81.73914672131147,4.1254,0.7678151085942632,1262.4075163934426,13.5693,-0.8432400845502781,-3.949006707014687,-1.7177403829223652
HMP19,-0.044674844376766235,59.87577267759563,2.4127,-0.10280665664538446,3.8926180327868853,0.7659,0.05813181226861823,3.9431596777003937,1.6554205955060053
PNMT,0.014537433581100065,238.98225409836064,11.608699999999999,-0.08771759970489504,16.816945901639343,4.0056,0.1022550332859951,3.8289158642270364,1.5351161554313553
GRIA1,0.0525328502299456,120.59724480874317,3.1515,-0.1272328213581972,8.984801639344262,0.7348,0.1797656715881428,3.7465664840639086,2.100615131170215
SYNPO2L,0.0010255740206116628,165.07816762295082,5.9519,-0.11691007831289561,12.494149180327868,2.509,0.11793565233350728,3.723824763517576,1.2462378166672656
CHGA,0.01637102201307757,2127.184983196721,0.89845,-0.03376106062801908,163.80381967213114,0.8917,0.05013208264109664,3.6989045935981,0.010879800774110836
C4orf40,-0.023109152838908523,33.27697295081967,0,0.6230066908346356,428.08647213114756,0,-0.6461158436735441,-3.6853061365573336,NaN
ARHGAP36,0.02312980689274645,256.1618387978142,1.4364,-0.0692085355315858,20.09834918032787,0.9844,0.09233834242433225,3.6719066564245186,0.5451409952064981
PNLIPRP3,0.011061860707719234,26.09159344262295,0,-0.12886736176124397,2.101534426229508,0,0.1399292224689632,3.6340700585701655,NaN
SEZ6L,-0.00942469438190155,85.83216366120219,5.49855,-0.1636663031886472,7.037506557377049,1.3126,0.15424160880674564,3.6083820997906075,2.0666238834037123
HP,0.020381435849968606,423.9670495901639,11.74385,-0.03310522727414341,35.06140655737705,12.8401,0.053486663124112016,3.595996365015203,-0.128750991975991
